name,address,website,phone_number,email,latitude,longitude
Boutique Apparels,"52 Foster St, Dandenong VIC 3175",,,,,
Libas by Perfect Scissors,"67 Foster St, Dandenong VIC 3175",https://facebook.com,(03) 8774 4436,dev7561@gmail.com,-37.9806071,145.1696345
Modesty Collection,"Dandenong Plaza, 262A/160 Walker St, Dandenong VIC 3175",https://modestycollection.com.au,(03) 8797 1988,info@modestycollection.com.au,-37.9806071,145.1696345
Nikita Fashions,"74 Foster St, Dandenong VIC 3175",,,,,
Desi Style By Essence Of India,"76 Foster St, Dandenong VIC 3175",,,,,
Kiyan Fashion House,Dandenong VIC 3175,,,,,
Boutique Estate Agency,"12/46 Outlook Dr, Dandenong North VIC 3175",https://boutiqueestate.com.au,(03) 9795 8889,reception@boutiqueestate.com.au,-37.9806071,145.1696345
Punjabi swag boutique,"Unit 3/50 Dawn Ave, Dandenong VIC 3175",,,,,
Taste Design,"2 Dandenong Square, Dandenong VIC 3175",,,,,
Bella Maria,"Market, J8/J10 Clow St, Dandenong VIC 3175",https://bellamaria.com.au,0437 759 520,info@bellamaria.com.au,-37.9806071,145.1696345
HARLEEN Fashion Hub,"Next to chemist warehouse, 277 Lonsdale St, Dandenong VIC 3175",https://facebook.com,0426 633 310,dev7561@gmail.com,-37.9806071,145.1696345
Dandenong Square,"McCrae Street, Walker St, Dandenong VIC 3175",dandenongsquare.com,,,,
Roop Milan Sarees,"83C Foster St, Dandenong VIC 3175",,,,,
"Kanya Var - Lehenga, Sherwani, Gowns, Indian Fashion Store","285/287 Lonsdale St, Dandenong VIC 3175",https://kanyavar.com.au,0456 266 899,,-37.9806071,145.1696345
Shakambari,Dandenong VIC 3175,,,,,
RIVAJ,"89A Foster St, Dandenong VIC 3175",,,,,
Ivory Fashion House Handloom and Batik Clothing Australia,"191 Greens Rd, Dandenong South VIC 3175",https://handloom.com.au,0435 432 277,info@handloom.com.au,-37.9806071,145.1696345
Global Fashion Accessories,"23-55 McCrae St, Dandenong VIC 3175",,,,,
VOHTI ANGEL ( Bridal suits & lehngha customisation),"Next to chemist warehouse, 277 Lonsdale St, Dandenong VIC 3175",https://instagram.com,0426 633 310,,-37.9806071,145.1696345
Dotti Dandenong,"Shop T220-1, Dandenong Plz Cnr Walker And, McCrae St, Dandenong VIC 3175",https://dotti.jgl.com.au,(03) 9792 2861,privacyofficer@jjh.com.au,-37.9806071,145.1696345
By Sami,"122 Walker St, Dandenong VIC 3175",,,,,
Ally Fashion,"Corner McCrae, Shop L02, 225-226 Dandenong Plaza, 317 Walker St, Dandenong VIC 3175",https://allyfashion.com,(03) 8789 8706,allyinfo@allyfashion.com,-37.9806071,145.1696345
Bombay Fashions,"61/79 Foster St, Dandenong VIC 3175",https://bombayfashions.com.au,(03) 9793 9495,,-37.9806071,145.1696345
Marhaban Islamic Store,"Dandenong Hub|, LOWER LEVEL SHOP 17A/ 15/23 Langhorne St, Dandenong VIC 3175",https://marhabanislamicstore.com.au,0433 542 626,marhaban.islamicstore@gmail.com,-37.9806071,145.1696345
Katies Dandenong,"316/23-55 McCrae St, Dandenong VIC 3175",https://katies.com.au,(03) 8784 1784,,-37.9806071,145.1696345
Dapper Ethnic - Indian Ethnic Wear For Men,"87b Foster St, Dandenong VIC 3175",https://dapperethnic.com,(03) 9793 9696,dapperethnic@gmail.com,-37.9806071,145.1696345
Kabul Fashion,"Shop 44/26 McCrae St, Dandenong VIC 3175",https://facebook.com,0410 154 570,dev7561@gmail.com,-37.9806071,145.1696345
AB fashion,"Shop 301 Level/3 Dandenong Plaza, Cnr McCrae and, Walker St, Dandenong VIC 317",https://facebook.com,0402 361 705,dev7561@gmail.com,-37.9806071,145.1696345
-,"Unit 1/7 Langhorne St, Dandenong VIC 3175",,,,,
Bridal Gown Alterations,"42 Somerset Dr, Dandenong VIC 3175",,,,,
BlackArt Menswear,"L02/216 McCrae St, Dandenong VIC 3175",,,,,
Noorban,"shop L02 254B Armada Dandenong plaza 3, 55 McCrae St, Dandenong VIC 3175",,,,,
Saree Galore Australia,"37 Princes Hwy, Dandenong VIC 3175",https://sareegalore.com.au,0404 790 019,sareegaloreaustralia@gmail.com,-37.9806071,145.1696345
Beautique Fashions,Dandenong VIC 3175,,,,,
SAREE SANSAAR,"81 A Foster St, Dandenong VIC 3175",https://sareesansaar.com.au,0417 037 819,,-37.9806071,145.1696345
"Lalo Professional Tailoring, Dressmaking & Alterations","2 Stevenson Ave, Dandenong North VIC 3175",,,,,
Funqi,"Victoria, Dandenong, 邮政编码: 3175",,,,,
Cotton On Dandenong,"Dandenong Plaza, 2MM1 Walker St, Dandenong VIC 3175",https://cottonon.com,(03) 9904 1401,info@cottononfoundation.org,-37.966934,145.1218963
Cotton On Dandenong,"Dandenong Plaza, 2MM1 Walker St, Dandenong VIC 3175",https://cottonon.com,(03) 9904 1401,info@cottononfoundation.org,-37.966934,145.1218963
Mega Boutique,"4/450 Princes Hwy, Noble Park North VIC 3174",https://megaboutique.com.au,(03) 8524 7870,,-37.966934,145.1218963
