name,address,website,phone_number,email,latitude,longitude
ms shelly,"4 Eaton Mall, Oakleigh VIC 3166",https://msshelly.com.au,0421 522 027,,-37.8979488,145.0822052
Isabella Fashions,"14 Eaton Mall, Oakleigh VIC 3166",https://isabellafashions.com.au,(03) 9563 2447,sales@isabellafashions.com.au,-37.8979488,145.0822052
Minoa Boutique,"58A Portman St, Oakleigh VIC 3166",https://minoaboutique.com.au,(03) 9569 1197,minoaboutique@gmail.com,-37.8979488,145.0822052
Millers Oakleigh,"Shop 4, Oakleigh Central, 40-45 Station St, Oakleigh VIC 3166",https://millers.com.au,(03) 9563 4624,nonib@nonib.com.au,-37.8979488,145.0822052
BouBoulina Designs,"2 Golf Links Ave, Oakleigh VIC 3166",https://bouboulinadesigns.com.au,0427 111 211,enquiries@bouboulinadesigns.com.au,-37.8979488,145.0822052
Deb Dress Melbourne,"10A Atherton Rd, Oakleigh VIC 3166",https://debdressmelbourne.weebly.com,0466 003 007,debweddingdress@outlook.com,-37.8979488,145.0822052
DIG IF U WILL,"22A Atherton Rd, Oakleigh VIC 3166",https://digifuwill.com.au,0410 588 488,vaya@digifuwill.com.au,-37.8979488,145.0822052
Charley Boutique,"18 Chester St, Oakleigh VIC 3166",charleyboutique.com,,,,
Oakleigh Central,"39 Hanover St, Oakleigh VIC 3166",https://oakleighcentral.com.au,(03) 9569 4507,oakleighcentral@vicinity.com.au,-37.8979488,145.0822052
CAMILLA Chadstone Boutique,"Shop 356/1341 Dandenong Rd, Chadstone VIC 3148",https://au.camilla.com,(03) 9569 4123,bondi@camilla.com.au,-37.8860983,145.0632923
MIG Collection,"22A Atherton Rd, Oakleigh VIC 3166",https://migcollection.com.au,0404 492 097,sales@migcollection.com.au,-37.8860983,145.0632923
Luv Bridal Chadstone,"1430 Dandenong Rd, Oakleigh VIC 3166",https://luvbridal.com.au,(03) 7003 4241,sydney@luvbridal.com,-37.8860983,145.0632923
Purple Garden | Oakleigh | Melbourne Brothel,"34 Warner St, Oakleigh VIC 3166",https://purple34.com,(03) 9372 9548,info@purple34.com.au,-37.910029,145.0836516
Feathers Boutique - David Jones Chadstone,"1341 Dandenong Rd, Chadstone VIC 3148",https://feathers.com.au,0476 979 015,online@feathers.com,-37.8859034,145.0664666
Veronika Maine Chadstone Myer,"Myer, Ground Floor/1341 Dandenong Rd, Chadstone VIC 3148",https://veronikamaine.com.au,(03) 8744 9328,info@veronikamaine.com.au,-37.8859034,145.0664666
Athena Deb Wedding Shop,"Suites 3/10A Atherton Rd, Oakleigh VIC 3166",https://debweddingdress.weebly.com,0466 003 007,debweddingdress@outlook.com,-37.8859034,145.0664666
The Komboloi Shop,"7/9 Eaton Mall, Oakleigh VIC 3166",https://thekomboloishop.com,0410 635 510,sales@thekomboloishop.com,-37.8859034,145.0664666
Industrie Clothing,"1390 Dandenong Rd, Oakleigh VIC 3166",https://industrie.com.au,(03) 9121 2011,recruitment@industrie.com.au,-37.8859034,145.0664666
LUSH GIFTS,"26A Atherton Rd, Oakleigh VIC 3166",,,,,
Jacqui E Chadstone,"Shop 322/1341 Princes Hwy, Chadstone VIC 3148",https://jacquie.jgl.com.au,(03) 9569 6684,privacyofficer@jjh.com.au,-37.8859034,145.0664666
Petit Atelier,"23 Station St, Oakleigh VIC 3166",https://petitatelier.com.au,(03) 9939 8498,info@petitatelier.com.au,-37.8859034,145.0664666
Aje Chadstone,"Shop G350/1341 Dandenong Rd, Chadstone VIC 3148",https://ajeworld.com.au,0427 159 552,customerservice@ajeworld.com,-37.8859034,145.0664666
The Corner Store Network,"30 Hamilton St, Oakleigh VIC 3166",https://cornerstorenetwork.org.au,0402 274 983,info@cornerstorenetwork.org.au,-37.8859034,145.0664666
Sweet Filosophy,"Shop 5/24-28 Chester St, Oakleigh VIC 3166",https://sweetfilosophy.com.au,(03) 9000 4105,,-37.9078467,145.0819464
Yenhuot,"23A Portman St, Oakleigh VIC 3166",,,,,
iCake,"Shop 2/10A Atherton Rd, Oakleigh VIC 3166",https://icake.com.au,0448 466 666,orders@icake.com.au,-37.9078467,145.0819464
KOOKAÏ Chadstone,"Shop 216A/1341 Dandenong Rd, Chadstone VIC 3148",https://kookai.com.au,(03) 8823 1213,,-37.8859034,145.0664666
Viktoria & Woods Chadstone,"Shop 353/1341 Dandenong Rd, Chadstone VIC 3148",,,,,
Oakleigh Cellars / Supercellars,"Shop No 5/52-54 Atherton Rd, Oakleigh VIC 3166",,,,,
Oakleigh Music Centre,"22 Chester St, Oakleigh VIC 3166",https://oakleighmusiccentre.com,(03) 9568 1864,mkoutsoupias@gmail.com,-37.8859034,145.0664666
Friendly Grocer + Liquor - Oakleigh,"37-39 Atherton Rd, Oakleigh VIC 3166",https://instagram.com,(03) 9569 5182,,-37.8859034,145.0664666
Forever New Chadstone,"Chadstone Shopping Centre, Tenancy G94 Dandenong Rd, Malvern East VIC 3145",https://forevernew.com.au,(03) 9563 1814,customers@forevernew.com.au,-37.8859034,145.0664666
Bella & Grace clothing,"508a Centre Rd, Bentleigh VIC 3204",https://bellaandgrace.com.au,0409 188 370,bellaandgraceclothing@gmail.com,-37.9188662,145.0220293
Portmans Chadstone,"Shop G104/1341 Princes Hwy, Chadstone VIC 3148",https://portmans.jgl.com.au,(03) 9569 5773,,-37.8856247,145.0646828
